year,webpages
1991,1
1992,10
1993,130
1994,2738
1995,23500
1996,257601
1997,1117255
1998,2410067
1999,3177453
2000,17087182
2001,29254370
2002,38760373
2003,40912332
2004,51611646
2005,64780617
2006,85507314
2007,121892559
2008,172338726
2009,238027855
2010,206956723
2011,346004403
2012,697089489
2013,672985183
2014,968882453
2015,863105652
2016,1045534808
2017,1766926408
2018,1630322579
